shot_distance,angle,shot_type,defensive_pressure,assist_type,goal
22.561028345356956,77.19573393471325,Free Kick,high,none,0
16.1245154965971,60.25511870305778,Open Play,high,through_ball,0
22.20360331117452,7.765166018425333,Open Play,high,through_ball,0
4.123105625617661,75.96375653207353,Open Play,high,through_ball,0
28.0178514522438,34.824489156956794,Open Play,high,through_ball,0
37.20215047547655,36.25383773744479,Open Play,high,none,0
19.924858845171276,17.52556837372287,Open Play,high,through_ball,0
29.410882339705484,17.81888891452278,Open Play,high,through_ball,0
22.847319317591726,23.19859051364819,Free Kick,high,none,0
32.202484376209235,36.15818543980833,Open Play,high,through_ball,0
25.942243542145693,27.5528115767178,Open Play,high,through_ball,0
15.620499351813308,39.80557109226519,Open Play,high,none,0
12.0,0.0,Penalty,high,none,1
42.01190307520001,1.3639275316029187,Open Play,high,through_ball,0
8.54400374531753,69.44395478041653,Open Play,high,through_ball,0
13.0,22.619864948040426,Open Play,high,through_ball,0
16.97056274847714,45.0,Open Play,high,through_ball,0
10.295630140987,60.94539590092286,Open Play,high,through_ball,0
11.661903789690601,30.96375653207352,Open Play,high,through_ball,0
7.810249675906654,39.80557109226519,Open Play,high,through_ball,0
26.92582403567252,15.068488159492212,Open Play,high,through_ball,0
38.01315561749642,1.507435758774968,Open Play,high,none,0
6.082762530298219,9.462322208025617,Open Play,high,through_ball,1
11.180339887498949,10.304846468766033,Open Play,high,through_ball,0
11.180339887498949,10.304846468766033,Open Play,high,through_ball,0
12.041594578792296,4.763641690726178,Open Play,high,through_ball,0
22.561028345356956,12.804266065286752,Open Play,high,none,0
17.88854381999832,63.43494882292201,Open Play,high,through_ball,0
16.55294535724685,64.98310652189998,Open Play,high,through_ball,0
8.94427190999916,26.56505117707799,Open Play,high,through_ball,0
10.295630140987,29.054604099077146,Open Play,high,through_ball,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,0
11.045361017187261,5.194428907734806,Penalty,high,none,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
11.045361017187261,5.194428907734806,Penalty,high,none,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
29.546573405388315,23.962488974578186,Open Play,high,through_ball,0
3.0,0.0,Open Play,high,none,0
35.22782990761707,34.59228868750995,Open Play,high,through_ball,0
8.246211251235321,14.036243467926479,Open Play,high,through_ball,0
